,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speeds,Country,Date
87,isangel,-19.55,169.27,75.06,81,97,11.95,VU,1604066153
88,lompoc,34.64,-120.46,50.0,93,90,5.82,US,1604066089
89,kathu,7.92,98.33,88.0,88,75,3.36,TH,1604066153
90,morki,56.43,48.99,36.55,90,92,8.12,RU,1604065961
91,khatanga,71.97,102.5,-8.61,84,0,5.46,RU,1604066153
92,mackay,-21.15,149.2,77.0,83,40,10.29,AU,1604066153
93,evensk,61.95,159.23,23.83,96,98,4.65,RU,1604066153
94,atar,20.52,-13.05,94.21,12,100,6.71,MR,1604066153
95,gornopravdinsk,60.05,69.9,34.77,94,100,8.23,RU,1604066153
96,salalah,17.02,54.09,84.2,54,0,5.82,OM,1604066153
97,bambous virieux,-20.34,57.76,72.0,49,5,5.99,MU,1604066153
98,adrar,20.5,-10.07,93.45,11,88,8.32,MR,1604065976
99,rocha,-34.48,-54.33,59.99,59,0,9.04,UY,1604066058
100,cherskiy,68.75,161.3,4.93,92,100,4.16,RU,1604066028
101,fengxian,34.7,116.59,64.0,67,98,1.01,CN,1604066153
102,shediac,46.22,-64.54,34.0,56,100,3.0,CA,1604065987
103,ryotsu,38.08,138.43,52.79,64,57,5.57,JP,1604066153
104,avarua,-21.21,-159.78,73.4,78,100,3.36,CK,1604066154
105,labuhan,-6.88,112.21,81.79,79,100,5.84,ID,1604066154
106,ordu,40.91,37.68,71.6,78,20,3.36,TR,1604066154
107,bulawayo,-20.15,28.58,91.58,11,0,12.17,ZW,1604065978
108,chandler,33.31,-111.84,64.99,41,1,8.05,US,1604065984
109,upernavik,72.79,-56.15,22.32,97,100,4.23,GL,1604066154
110,cicero dantas,-10.6,-38.38,85.73,52,96,12.64,BR,1604066154
111,balikpapan,-1.27,116.83,78.58,84,100,2.53,ID,1604066154
112,lebu,-37.62,-73.65,58.87,63,0,12.3,CL,1604066154
113,mar del plata,-38.0,-57.56,57.2,50,0,8.05,AR,1604065903
114,sobolevo,54.43,31.9,47.68,94,100,4.5,RU,1604065879
115,acapulco,16.86,-99.89,78.8,88,75,3.36,MX,1604066154
116,mormugao,15.4,73.8,80.78,75,18,4.92,IN,1604066154
117,kutum,14.2,24.67,86.76,17,91,5.23,SD,1604066154
118,luanda,-8.84,13.23,86.0,66,20,12.75,AO,1604066142
119,souillac,-20.52,57.52,72.0,49,7,5.99,MU,1604066154
120,nurota,40.56,65.69,57.2,28,0,9.17,UZ,1604066154
121,laguna,38.42,-121.42,48.0,75,1,3.0,US,1604066154
122,victoria,22.29,114.16,75.99,77,34,1.99,HK,1604065955
123,kidal,18.44,1.41,95.2,9,0,16.8,ML,1604065962
124,vestmannaeyjar,63.44,-20.27,42.8,87,40,20.8,IS,1604065884
125,bredasdorp,-34.53,20.04,68.0,40,20,17.22,ZA,1604065938
126,artesia,33.87,-118.08,59.0,100,90,1.32,US,1604066155
127,shirokiy,49.76,129.52,31.26,92,100,7.96,RU,1604066155
128,hvide sande,56.0,8.13,55.99,100,75,10.29,DK,1604066155
129,lagoa,39.05,-27.98,68.77,86,99,34.72,PT,1604066155
130,brisbane,-27.47,153.03,75.0,83,20,21.92,AU,1604065866
131,tezu,27.92,96.17,75.2,42,0,4.59,IN,1604066155
132,buala,-8.14,159.59,77.94,81,100,0.94,SB,1604066155
133,tel aviv-yafo,32.08,34.78,80.6,65,40,12.75,IL,1604066155
134,shenjiamen,29.96,122.3,62.53,68,0,11.36,CN,1604066155
135,virginia beach,36.85,-75.98,57.2,82,90,17.22,US,1604065670
136,nata,8.33,-80.52,77.0,88,20,3.36,PA,1604066155
137,la paz,-16.5,-68.15,48.2,66,40,4.7,BO,1604066072
138,baracoa,20.35,-74.5,82.02,80,100,6.4,CU,1604066155
139,teya,60.38,92.63,7.77,92,3,2.15,RU,1604066156
140,piripiri,-4.27,-41.78,101.32,26,94,5.37,BR,1604066156
141,tecate,32.57,-116.63,59.0,43,1,3.36,MX,1604066156
142,thompson,55.74,-97.86,10.04,95,0,3.94,CA,1604065944
143,butaritari,3.07,172.79,81.5,78,95,15.88,KI,1604066156
144,dosso,13.05,3.19,99.09,12,0,11.18,NE,1604065880
145,susehri,40.16,38.09,68.18,24,0,5.44,TR,1604066156
146,castro,-24.79,-50.01,57.7,90,100,11.21,BR,1604065955
147,mongoumba,3.64,18.59,84.76,67,6,4.05,CF,1604066156
148,chokurdakh,70.63,147.92,3.27,94,100,6.02,RU,1604066026
149,muswellbrook,-32.27,150.9,62.01,86,91,4.0,AU,1604066156
150,abeche,13.83,20.83,100.4,14,20,6.93,TD,1604066156
151,norsup,-16.07,167.38,78.75,81,26,13.13,VU,1604066156
152,gubkinskiy,64.43,76.5,20.68,98,100,9.55,RU,1604066156
153,makakilo city,21.35,-158.09,78.8,61,20,11.41,US,1604066157
154,ponta do sol,32.67,-17.1,75.2,64,20,17.22,PT,1604066157
155,lasa,46.62,10.7,63.0,38,5,3.36,IT,1604066157
156,palana,59.12,159.97,30.27,99,91,8.77,RU,1604066157
157,carnarvon,-24.87,113.63,73.4,78,90,8.05,AU,1604066157
158,finschhafen,-6.6,147.87,79.5,75,55,0.81,PG,1604066157
159,gandorhun,7.5,-11.83,92.35,49,89,3.11,SL,1604066157
160,hohhot,40.81,111.65,46.4,76,40,2.24,CN,1604066157
161,kaoma,-14.78,24.8,96.84,14,57,4.07,ZM,1604066157
162,faanui,-16.48,-151.75,78.69,81,0,9.26,PF,1604065935
163,porto novo,6.5,2.6,87.8,66,20,9.17,BJ,1604066157
164,olafsvik,64.89,-23.71,41.38,80,90,11.65,IS,1604066157
165,tuatapere,-46.13,167.68,55.99,96,100,7.0,NZ,1604066157
166,barra da estiva,-13.63,-41.33,70.57,78,94,7.78,BR,1604066157
167,svetlogorsk,52.63,29.73,50.04,84,100,7.09,BY,1604065950
168,husavik,66.04,-17.34,42.8,81,90,6.93,IS,1604066158
169,klyuchi,52.27,79.17,34.99,97,100,7.49,RU,1604066158
170,vardo,70.37,31.11,33.8,69,40,14.99,NO,1604066158
171,tecpan,14.76,-90.99,62.6,88,20,6.93,GT,1604066158
172,general pico,-35.66,-63.76,63.46,35,0,8.95,AR,1604066158
173,vysokogornyy,50.12,139.15,29.3,96,94,3.53,RU,1604066158
174,muli,2.92,73.57,82.99,76,76,12.46,MV,1604066158
175,tiznit,29.58,-9.5,83.7,15,0,19.04,MA,1604066158
176,puerto madero,14.72,-92.42,75.2,100,40,7.94,MX,1604066063
177,loikaw,19.67,97.21,66.25,96,98,2.26,MM,1604066158
178,hamilton,39.18,-84.53,44.01,81,75,8.05,US,1604065959
179,maryborough,-25.53,152.7,75.99,83,0,5.01,AU,1604066158
180,leningradskiy,69.38,178.42,17.04,92,51,19.37,RU,1604066158
181,bilibino,68.05,166.44,3.78,85,100,2.13,RU,1604066158
182,beringovskiy,63.05,179.32,26.37,81,0,6.8,RU,1604065952
183,shamilkala,42.69,46.86,60.8,87,20,6.71,RU,1604066158
184,cervo,43.67,-7.41,68.0,61,0,14.0,ES,1604066158
185,port-gentil,-0.72,8.78,84.2,79,20,10.29,GA,1604065983
186,lakhimpur,27.95,80.77,76.1,34,0,5.39,IN,1604066159
187,pangnirtung,66.15,-65.71,6.98,82,30,1.59,CA,1604066159
188,poya,-21.35,165.15,74.61,80,59,5.37,NC,1604066159
189,ionia,42.99,-85.07,36.0,59,90,9.17,US,1604066159
190,baruun-urt,46.68,113.28,44.85,56,100,14.41,MN,1604066159
191,vestmanna,62.16,-7.17,48.2,70,84,16.11,FO,1604066159
192,nuevo mexico,20.75,-103.43,61.0,71,0,3.0,MX,1604065929
193,tartagal,-22.52,-63.8,69.8,60,75,9.17,AR,1604066111
194,bairiki,1.33,172.98,82.4,78,20,10.29,KI,1604066159
195,belmonte,-15.86,-38.88,82.4,65,40,16.11,BR,1604066160
196,port lincoln,-34.73,135.87,56.89,84,99,15.73,AU,1604066160
197,omboue,-1.57,9.26,82.06,75,100,11.12,GA,1604066160
198,mayenne,48.33,-0.67,60.8,77,90,8.05,FR,1604066160
199,avera,33.19,-82.53,57.2,76,1,8.05,US,1604065967
200,ambilobe,-13.2,49.05,84.49,48,68,3.67,MG,1604066160
201,korla,41.76,86.15,43.95,55,0,2.82,CN,1604066160
202,saskylakh,71.92,114.08,-1.52,85,41,6.91,RU,1604066021
203,asau,46.43,26.4,46.0,98,100,2.98,RO,1604066161
204,presidencia roque saenz pena,-26.79,-60.44,73.99,38,28,4.0,AR,1604066034
205,shahr-e babak,30.12,55.12,55.24,31,0,6.33,IR,1604066161
206,canutama,-6.53,-64.38,82.85,71,89,2.08,BR,1604066161
207,georgetown,5.41,100.34,84.0,83,20,2.24,MY,1604066161
208,brae,60.4,-1.35,51.8,66,20,28.86,GB,1604066161
209,aswan,24.09,32.91,97.0,10,0,5.1,EG,1604066161
210,narsaq,60.92,-46.05,30.2,68,75,2.24,GL,1604066161
211,east london,-33.02,27.91,64.4,59,20,16.11,ZA,1604065938
212,port hardy,50.7,-127.42,47.7,76,81,11.14,CA,1604066036
213,pyay,18.82,95.22,73.99,94,60,4.65,MM,1604066162
214,port hedland,-20.32,118.57,84.2,48,28,13.87,AU,1604066162
215,kudahuvadhoo,2.67,72.89,82.99,76,98,12.19,MV,1604065870
216,esperance,-33.87,121.9,64.4,55,100,11.41,AU,1604065961
217,leh,34.17,77.58,32.9,59,72,4.99,IN,1604066162
218,yeppoon,-23.13,150.73,73.4,88,0,10.29,AU,1604065965
219,bar harbor,44.39,-68.2,34.0,76,1,13.87,US,1604066069
220,sao filipe,14.9,-24.5,84.52,53,99,11.25,CV,1604066162
221,bosaso,11.28,49.18,82.58,74,17,12.88,SO,1604066162
222,tokmak,47.25,35.71,59.04,67,100,5.64,UA,1604066162
223,damghan,36.17,54.35,63.07,29,0,3.09,IR,1604066163
224,qaanaaq,77.48,-69.36,14.97,81,100,5.55,GL,1604065939
225,dhidhdhoo,6.88,73.1,83.35,72,100,10.51,MV,1604066163
226,inhambane,-23.86,35.38,84.2,66,20,13.87,MZ,1604066163
227,constitucion,-35.33,-72.42,66.43,53,0,4.52,CL,1604066019
228,mount isa,-20.73,139.5,77.0,14,0,10.29,AU,1604066163
229,ko samui,9.54,99.94,83.16,73,100,4.56,TH,1604066163
230,nouakchott,18.09,-15.98,96.8,14,0,18.34,MR,1604066163
231,saint-philippe,-21.36,55.77,71.6,56,40,21.92,RE,1604066163
232,hualmay,-11.1,-77.61,66.74,72,100,7.61,PE,1604066163
233,mayumba,-3.43,10.66,77.52,89,94,11.12,GA,1604066164
234,quatre cocos,-20.21,57.76,72.0,49,6,5.99,MU,1604066164
235,saint-georges,12.06,-61.75,84.2,83,40,17.22,GD,1604066164
236,meulaboh,4.14,96.13,79.36,81,99,2.73,ID,1604065939
237,slave lake,55.28,-114.77,30.27,97,100,13.56,CA,1604066164
238,sehithwa,-20.47,22.72,102.6,10,2,8.05,BW,1604066164
239,farim,12.48,-15.22,99.61,28,52,1.7,GW,1604066164
240,iracoubo,5.48,-53.2,86.2,69,99,14.36,GF,1604066157
241,sajanan,37.06,9.24,69.8,64,40,10.29,TN,1604066164
242,auki,-8.77,160.7,77.36,85,100,3.24,SB,1604066164
243,lorengau,-2.02,147.27,81.09,75,100,3.29,PG,1604066029
244,jurado,7.11,-77.76,80.1,80,33,5.59,CO,1604066164
245,shingu,33.73,135.98,47.75,73,0,7.07,JP,1604066164
246,arraial do cabo,-22.97,-42.03,78.8,83,75,13.87,BR,1604066036
247,fazalpur,32.18,75.07,68.0,60,0,5.97,PK,1604066164
248,diffa,13.32,12.61,96.76,12,0,15.32,NE,1604066165
249,gopalpur,19.27,84.92,78.78,58,14,7.2,IN,1604066165
250,burdeos,14.84,121.97,80.08,85,31,17.38,PH,1604066165
251,abu dhabi,24.47,54.37,87.8,51,0,10.29,AE,1604065971
252,mtinko,-4.55,34.85,81.54,29,78,11.54,TZ,1604066165
253,aklavik,68.22,-135.01,3.58,91,65,9.4,CA,1604066165
254,panama city,8.99,-79.52,86.0,83,20,5.82,PA,1604066165
255,cedar city,37.68,-113.06,30.2,54,1,3.36,US,1604065956
256,esna,25.29,32.55,96.8,20,0,4.7,EG,1604066165
257,dingle,11.0,122.67,77.67,89,100,4.63,PH,1604066165
258,kitimat,54.05,-128.65,37.56,82,99,1.14,CA,1604066166
259,aracati,-4.56,-37.77,89.62,47,99,14.12,BR,1604066166
260,jalu,29.03,21.55,78.71,35,0,11.86,LY,1604066033
261,ruiz,21.95,-105.15,60.8,100,5,2.98,MX,1604066166
262,karratha,-20.74,116.85,76.5,62,0,10.58,AU,1604065977
263,wilmington,34.23,-77.94,69.01,59,1,12.75,US,1604065867
264,malanje,-9.54,16.34,79.79,66,71,1.79,AO,1604066166
265,edgewater,28.99,-80.9,68.0,77,20,6.93,US,1604066166
266,ankazoabo,-22.28,44.52,90.88,26,89,6.26,MG,1604066166
267,yerbogachen,61.28,108.01,13.59,95,100,5.84,RU,1604066166
268,ossora,59.24,163.07,31.1,94,74,3.91,RU,1604066166
269,haimen,23.19,116.61,73.4,60,75,11.18,CN,1604066166
270,masterton,-40.96,175.66,63.0,91,100,3.0,NZ,1604066166
271,kenai,60.55,-151.26,14.0,85,1,3.36,US,1604066166
272,makurdi,7.74,8.51,94.21,40,1,4.07,NG,1604066167
273,ferrol,43.48,-8.24,69.01,68,20,9.17,ES,1604066167
274,misratah,32.38,15.09,73.27,60,8,17.05,LY,1604066167
275,mangrol,21.12,70.12,81.79,64,0,7.54,IN,1604066167
276,cap malheureux,-19.98,57.61,72.0,49,0,5.99,MU,1604066167
277,port macquarie,-31.43,152.92,66.99,99,71,10.65,AU,1604066167
278,bengkulu,-3.8,102.27,77.36,86,100,4.76,ID,1604066028
279,vao,-22.67,167.48,73.4,85,58,13.04,NC,1604066167
280,tupik,54.43,119.93,16.65,95,65,3.36,RU,1604066167
281,taiyuan,37.87,112.56,53.6,62,97,2.24,CN,1604066167
282,fortuna,40.6,-124.16,37.4,100,1,2.51,US,1604066167
283,tasiilaq,65.61,-37.64,35.6,74,75,10.29,GL,1604065947
284,gazli,40.13,63.45,53.89,35,0,12.75,UZ,1604066167
285,geraldton,-28.77,114.6,68.0,82,0,4.7,AU,1604066167
286,oranjemund,-28.55,16.43,61.95,58,100,31.07,NA,1604066167
287,smolenka,52.14,113.5,32.0,94,100,6.71,RU,1604066167
288,sitka,57.05,-135.33,37.4,93,90,3.36,US,1604066167
289,shimoda,34.67,138.95,56.5,64,3,15.37,JP,1604066168
290,inyonga,-6.72,32.07,85.73,32,63,6.44,TZ,1604066168
291,ubeda,38.01,-3.37,80.01,32,0,2.26,ES,1604066168
292,hobyo,5.35,48.53,82.69,70,8,11.74,SO,1604066168
293,comodoro rivadavia,-45.87,-67.5,69.8,30,0,13.87,AR,1604065964
294,lazarev,52.23,141.51,37.18,79,0,8.01,RU,1604066168
295,erenhot,43.65,111.98,52.27,39,100,29.55,CN,1604066168
296,vilhena,-12.74,-60.15,73.4,88,75,12.75,BR,1604065966
297,kajaani,64.23,27.73,35.6,80,75,9.17,FI,1604066168
298,tual,-5.67,132.75,83.32,75,13,12.17,ID,1604066168
299,isla vista,34.41,-119.86,62.01,81,1,2.57,US,1604066168
300,sena madureira,-9.07,-68.66,82.9,69,94,6.06,BR,1604066168
301,paracatu,-17.22,-46.87,81.19,68,22,8.88,BR,1604066168
302,grimshaw,56.18,-117.6,30.0,100,100,5.01,CA,1604066169
303,salinopolis,-0.61,-47.36,85.46,65,100,15.1,BR,1604066169
304,airai,-8.93,125.41,62.74,100,71,1.52,TL,1604065956
305,nelson bay,-32.72,152.15,64.99,93,40,3.36,AU,1604066169
306,kaitangata,-46.28,169.85,57.99,95,100,1.99,NZ,1604066169
307,bonfim,3.08,-59.95,83.59,71,97,9.55,BR,1604065960
308,vaitape,-16.52,-151.75,79.57,80,2,9.1,PF,1604065977
309,balabac,7.99,117.06,82.45,80,100,13.22,PH,1604066169
310,coromandel,-18.47,-47.2,78.96,69,46,10.56,BR,1604066169
311,eureka,40.8,-124.16,41.0,93,90,3.47,US,1604066169
312,paamiut,61.99,-49.67,25.38,85,91,5.57,GL,1604066044
313,pasighat,28.07,95.33,73.56,52,0,4.12,IN,1604066170
314,lashio,22.93,97.75,66.04,98,96,1.16,MM,1604066170
315,snina,48.99,22.15,48.99,63,69,2.3,SK,1604066170
316,marawi,8.0,124.29,78.01,93,85,3.0,PH,1604066170
317,fairbanks,64.84,-147.72,12.99,85,90,8.05,US,1604066170
318,beidao,34.57,105.89,36.0,82,74,7.96,CN,1604066170
319,biak,-0.91,122.88,79.43,76,82,3.49,ID,1604066170
320,srivardhan,18.03,73.02,80.24,76,2,7.56,IN,1604066170
321,garowe,8.41,48.48,88.79,37,2,1.97,SO,1604066170
322,cabo san lucas,22.89,-109.91,66.2,77,5,8.05,MX,1604066170
323,coquimbo,-29.95,-71.34,55.4,82,90,3.36,CL,1604066170
324,lannion,48.75,-3.42,60.8,82,90,16.11,FR,1604066171
325,vyshhorod,50.58,30.49,54.0,87,100,5.82,UA,1604065953
326,loa janan,-0.58,117.09,75.78,89,76,1.66,ID,1604066171
327,kalmunai,7.42,81.82,81.39,78,45,5.73,LK,1604066171
328,matara,5.95,80.54,79.75,80,8,9.37,LK,1604066171
329,berlevag,70.86,29.09,35.6,74,75,23.04,NO,1604066171
330,birmitrapur,22.4,84.77,72.39,54,0,7.02,IN,1604066171
331,ponta delgada,37.73,-25.67,69.8,88,40,18.34,PT,1604066085
332,ushtobe,45.25,77.98,42.12,61,0,7.25,KZ,1604066171
333,natal,-5.79,-35.21,86.0,62,75,14.99,BR,1604066066
334,lingao,19.91,109.69,75.54,86,97,17.6,CN,1604066171
335,khatassy,61.9,129.64,-16.6,75,20,6.71,RU,1604066171
336,wonthaggi,-38.6,145.59,55.99,92,2,8.79,AU,1604066097
337,barinas,8.62,-70.21,84.47,67,93,4.81,VE,1604066171
338,wanning,18.8,110.4,76.93,89,91,15.79,CN,1604066171
339,guerrero negro,27.98,-114.06,60.42,74,59,1.28,MX,1604066171
340,bundaberg,-24.85,152.35,75.99,83,75,16.11,AU,1604066172
341,el alto,-4.27,-81.21,62.6,93,90,16.11,PE,1604066172
342,saint-joseph,-21.37,55.62,71.6,56,40,21.92,RE,1604065964
343,ust-nera,64.57,143.2,-0.49,85,86,1.21,RU,1604066172
344,kavieng,-2.57,150.8,82.08,76,78,5.53,PG,1604066172
345,grants,35.15,-107.85,28.4,100,1,5.82,US,1604066172
346,kasungu,-13.03,33.48,83.16,33,63,10.94,MW,1604066172
347,doha,25.29,51.53,93.2,43,0,8.05,QA,1604065903
348,saraza,8.74,117.78,80.31,79,96,2.68,PH,1604066172
349,astana,51.18,71.45,39.2,64,0,6.71,KZ,1604065921
350,alekseyevskoye,55.31,50.11,37.4,74,75,11.18,RU,1604066172
351,bereda,43.27,-7.54,68.0,61,0,14.0,ES,1604066172
352,yumen,40.28,97.2,36.97,70,82,13.65,CN,1604066172
353,laranjeiras do sul,-25.41,-52.42,66.51,70,96,5.77,BR,1604066172
354,ust-maya,60.42,134.53,2.12,92,95,3.09,RU,1604066173
355,bantry,51.68,-9.45,53.6,66,0,5.82,IE,1604066173
356,namibe,-15.2,12.15,75.67,70,5,13.65,AO,1604066173
357,the pas,53.83,-101.25,18.46,98,94,2.89,CA,1604066173
358,atyrau,47.12,51.88,53.6,34,100,17.9,KZ,1604066173
359,san quintin,30.48,-115.95,48.0,22,28,5.01,MX,1604065953
360,ketchikan,55.34,-131.65,42.8,80,40,12.75,US,1604065957
361,netanya,32.33,34.86,80.6,65,40,12.75,IL,1604066137
362,kruisfontein,-34.0,24.73,62.01,62,59,5.99,ZA,1604066173
363,sumbe,-11.21,13.84,78.51,78,66,4.43,AO,1604066173
364,calvia,39.57,2.51,71.6,68,0,14.99,ES,1604066173
365,port augusta,-32.5,137.77,57.2,87,75,14.99,AU,1604066030
366,cayenne,4.93,-52.33,87.8,66,75,12.75,GF,1604066173
367,parana,-31.73,-60.52,62.01,57,97,6.71,AR,1604066173
368,morbegno,46.14,9.57,68.0,70,19,1.99,IT,1604066173
369,noumea,-22.28,166.46,75.2,69,0,6.93,NC,1604066174
370,gisborne,-38.65,178.0,63.0,73,100,4.0,NZ,1604066174
371,labuan,5.28,115.24,77.0,94,20,1.12,MY,1604066174
372,uruzgan,32.83,66.0,39.43,65,0,3.0,AF,1604065893
373,san andres,12.58,-81.7,86.0,74,40,5.82,CO,1604066174
374,hutchinson,38.06,-97.93,39.0,80,1,9.17,US,1604066082
375,corinto,37.94,22.96,71.01,55,27,5.01,GR,1604066174
376,kholtoson,50.3,103.31,22.86,90,8,3.65,RU,1604066174
377,ahipara,-35.17,173.17,61.84,90,100,9.51,NZ,1604066174
378,novokizhinginsk,51.61,109.59,30.97,97,100,5.01,RU,1604066174
379,freeport,40.66,-73.58,39.2,86,90,23.04,US,1604065875
380,inta,66.03,60.17,39.04,92,100,13.76,RU,1604066167
381,yaan,7.38,8.57,91.85,44,39,3.91,NG,1604066174
382,sokoni,-6.43,39.55,84.2,70,75,12.75,TZ,1604066174
383,borovskoy,53.8,64.15,27.97,94,5,6.93,KZ,1604066174
384,takoradi,4.88,-1.76,83.14,69,22,6.46,GH,1604066065
385,naruto,34.18,134.62,60.8,58,40,17.22,JP,1604066174
386,vryburg,-26.96,24.73,92.86,14,88,12.41,ZA,1604066175
387,san patricio,28.02,-97.52,51.01,87,20,6.93,US,1604065971
